RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005
"","","","","","","","","","","",""
I,I,P,P,V,V,R,R,Wh,Wh,Ah,Ah
Time I [A DC],I [A DC],Time P [W],P [W],Time V [V DC],V [V DC],Time R [Ω],R [Ω],Time Wh [Wh],Wh [Wh],Time Ah [Ah],Ah [Ah]
69.2660,0,69.2660,0,69.2660,0,69.2660,-1.79769e+308,69.2660,0,69.2660,0
69.6550,0,69.6550,0,69.6550,0,69.6550,-1.79769e+308,69.6550,0,69.6550,0
70.0440,0,70.0440,0,70.0440,0,70.0440,-1.79769e+308,70.0440,0,70.0440,0
70.4330,0,70.4330,0,70.4330,0,70.4330,-1.79769e+308,70.4330,0,70.4330,0
70.8220,0,70.8220,0,70.8220,0,70.8220,-1.79769e+308,70.8220,0,70.8220,0
71.2120,0,71.2120,0,71.2120,0,71.2120,-1.79769e+308,71.2120,0,71.2120,0
71.6010,0,71.6010,0,71.6010,0,71.6010,-1.79769e+308,71.6010,0,71.6010,0
71.9900,0,71.9900,0,71.9900,0,71.9900,-1.79769e+308,71.9900,0,71.9900,0
72.3790,0,72.3790,0,72.3790,0,72.3790,-1.79769e+308,72.3790,0,72.3790,0
72.7680,0,72.7680,0,72.7680,0,72.7680,-1.79769e+308,72.7680,0,72.7680,0
73.1570,0,73.1570,0,73.1570,0,73.1570,-1.79769e+308,73.1570,0,73.1570,0
73.5460,0,73.5460,0,73.5460,0,73.5460,-1.79769e+308,73.5460,0,73.5460,0
73.9360,0,73.9360,0,73.9360,0,73.9360,-1.79769e+308,73.9360,0,73.9360,0
74.3250,0,74.3250,0,74.3250,0,74.3250,-1.79769e+308,74.3250,0,74.3250,0
74.7140,0,74.7140,0,74.7140,0,74.7140,-1.79769e+308,74.7140,0,74.7140,0
75.1030,0,75.1030,0,75.1030,0,75.1030,-1.79769e+308,75.1030,0,75.1030,0
75.4930,0,75.4930,0,75.4930,0,75.4930,-1.79769e+308,75.4930,0,75.4930,0
75.8820,0,75.8820,0,75.8820,0,75.8820,-1.79769e+308,75.8820,0,75.8820,0
76.2710,0,76.2710,0,76.2710,0,76.2710,-1.79769e+308,76.2710,0,76.2710,0
76.6600,0,76.6600,0,76.6600,0,76.6600,-1.79769e+308,76.6600,0,76.6600,0
